"","experience","wage_h","logwage_h","school","school_father","school_mother","married","male","d_north","d_centre","d_south","d_partime","d_agri","d_indu","d_pa"
"49511",2,13.12667,2.574646,8,5,0,1,0,0,0,1,1,0,0,1
"49521",15,27.96875,3.331088,8,5,5,1,0,0,0,1,0,1,0,0
"49531",15,36.35938,3.593452,13,5,5,1,1,0,0,1,0,1,0,0
"4954",24,6.7125,1.903971,13,5,5,1,1,0,0,1,0,0,0,1
"4956",20,8.287037,2.114692,13,5,5,1,1,0,0,1,0,0,0,1
"49571",32,5.59375,1.72165,5,0,0,1,1,0,0,1,0,0,0,0
"49601",10,8.390625,2.127115,13,8,5,1,1,0,0,1,0,0,0,0
"49611",6,10.06875,2.309437,13,8,8,1,0,0,0,1,0,0,0,0
"49621",4,8.832237,2.178408,13,8,8,1,0,0,0,1,0,0,0,0
"49641",7,7.955555,2.07387,13,5,5,0,0,0,0,1,0,0,0,0
"49661",10,8.390625,2.127115,13,5,5,1,0,0,0,1,0,0,0,0
"49681",31,7.458333,2.009332,13,5,5,0,0,0,0,1,0,0,0,1
"49701",15,11.1875,2.414797,13,5,5,0,1,0,0,1,0,0,1,0
"49711",5,5.37,1.680828,8,0,0,1,1,0,0,1,0,1,0,0
"49721",18,10.06875,2.309437,13,5,0,1,1,0,0,1,0,0,0,0
"49731",3,10.47557,2.349046,13,5,5,0,1,0,0,1,1,0,0,1
"49741",10,4.195313,1.433968,13,13,8,1,0,0,0,1,0,0,0,0
"49751",16,7.83125,2.058122,8,8,8,0,1,1,0,0,0,0,1,0
"49771",6,9.3975,2.240444,8,5,0,1,1,1,0,0,0,0,0,0
"49791",20,10.44167,2.345804,13,8,8,1,1,1,0,0,0,0,0,0
"49801",13,7.518,2.0173,11,13,8,1,0,1,0,0,1,0,0,0
"49811",40,9.944445,2.297014,13,8,5,0,0,1,0,0,0,0,0,1
"49851",8,11.74687,2.463587,13,5,5,1,1,1,0,0,0,0,0,0
"49871",4,6.7125,1.903971,8,13,13,1,0,1,0,0,1,0,0,0
"4991",18,9.509375,2.252278,13,8,8,1,1,1,0,0,0,0,0,0
"49921",6,13.425,2.597119,13,13,18,0,1,1,0,0,0,0,0,0
"49941",29,7.6075,2.029135,11,5,5,0,0,1,0,0,0,0,0,1
"49951",7,10.06875,2.309437,18,5,8,1,0,1,0,0,0,0,0,1
"4996",11,9.089844,2.207158,8,8,8,0,1,1,0,0,0,0,1,0
"4997",20,12.53,2.528126,18,5,5,1,0,0,0,1,0,0,0,1
"49981",27,7.691406,2.040104,18,5,5,1,1,0,0,1,0,0,0,1
"50001",5,10.25521,2.327786,13,0,0,1,1,0,1,0,0,0,1,0
"50011",25,8.856771,2.181182,13,5,5,0,0,1,0,0,0,0,0,0
"50031",16,11.1875,2.414797,8,5,0,1,1,1,0,0,0,0,0,0
"50041",14,22.375,3.107944,13,5,0,1,0,1,0,0,0,0,0,1
"5005",18,11.1875,2.414797,13,5,0,0,0,1,0,0,0,0,0,0
"50071",26,18.64583,2.925623,18,8,5,1,0,1,0,0,0,0,0,1
"50081",14,11.1875,2.414797,13,13,13,1,0,1,0,0,1,0,0,1
"50091",26,7.83125,2.058122,8,5,0,0,0,1,0,0,0,0,0,0
"5011",27,12.43056,2.520158,8,5,5,1,1,1,0,0,0,0,0,0
"50161",40,10.74,2.373975,5,5,5,1,1,0,1,0,0,0,0,1
"5018",7,8.726251,2.166336,13,5,5,0,0,0,1,0,0,0,0,0
"50191",25,20.69687,3.029983,18,8,5,1,1,0,1,0,0,0,0,0
"50251",8,18.795,2.933591,18,13,8,0,0,1,0,0,0,0,0,0
"50271",16,11.1875,2.414797,13,5,5,1,1,1,0,0,0,0,0,0
"50281",25,7.83125,2.058122,13,5,5,1,1,1,0,0,0,0,1,0
"50291",20,29.83333,3.395626,8,8,8,1,0,1,0,0,1,0,0,0
"50301",34,7.458333,2.009332,5,5,5,1,1,0,0,1,0,1,0,0
"50341",17,12.30625,2.510107,13,13,13,1,1,1,0,0,0,0,1,0
"50361",18,7.654605,2.035307,13,13,5,1,1,1,0,0,0,0,1,0
"50371",16,10.86786,2.385809,13,5,5,1,0,1,0,0,1,1,0,0
"50381",29,7.83125,2.058122,13,5,5,1,1,1,0,0,0,0,1,0
"5039",25,6.7125,1.903971,11,5,5,1,0,1,0,0,1,0,0,0
"50401",32,7.16,1.96851,8,5,5,0,1,1,0,0,0,0,1,0
"50411",10,8.110937,2.093213,8,5,5,0,0,1,0,0,0,0,0,1
"50421",22,7.83125,2.058122,8,5,8,1,1,1,0,0,0,0,1,0
"50431",17,6.7125,1.903971,8,5,5,1,0,1,0,0,0,0,1,0
"50451",21,20.97656,3.043406,13,8,8,1,1,1,0,0,0,0,0,1
"50461",16,9.509375,2.252278,13,8,8,0,1,1,0,0,0,0,0,1
"50471",13,9.3975,2.240444,18,13,13,0,0,1,0,0,0,0,0,1
"5048",22,21.25625,3.056651,8,5,5,1,0,1,0,0,1,0,0,0
"5049",17,7.458333,2.009332,13,13,13,0,0,1,0,0,0,0,0,1
"5050",28,13.98438,2.637941,8,0,0,1,1,1,0,0,0,0,0,0
"50521",18,12.86563,2.554559,8,5,5,1,1,1,0,0,0,0,0,0
"50531",20,6.992188,1.944793,8,5,5,1,1,1,0,0,0,1,0,0
"50541",30,11.69602,2.459249,8,5,5,1,1,1,0,0,0,0,0,0
"50551",25,9.661932,2.268194,8,5,5,1,0,1,0,0,0,0,0,0
