"","experience","wage_h","logwage_h","school","school_father","school_mother","married","male","d_north","d_centre","d_south","d_partime","d_agri","d_indu","d_pa"
"1",20,14.77282,2.692789,13,8,8,1,1,0,0,1,0,0,0,1
"2",17,20.51781,3.021293,13,5,5,1,0,0,0,1,0,0,0,1
"3",32,15.56422,2.744975,18,18,8,1,0,1,0,0,0,0,0,1
"5",35,7.017089,1.948349,5,5,0,1,1,0,0,1,0,0,1,0
"6",24,12.00292,2.48515,13,5,5,1,1,0,0,1,0,0,0,1
"7",12,9.71896,2.274079,13,5,0,1,1,0,0,1,0,0,0,1
"8",28,12.92622,2.559258,18,5,5,1,1,0,0,1,0,0,0,0
"9",20,49.24273,3.896762,13,5,5,1,1,1,0,0,1,1,0,0
"10",20,49.24273,3.896762,13,5,5,1,0,1,0,0,1,1,0,0
"11",20,5.276007,1.66317,5,8,5,0,0,1,0,0,0,0,1,0
"16",25,9.582369,2.259925,8,5,5,1,1,1,0,0,0,0,0,1
"17",7,8.863691,2.181963,8,5,5,1,0,1,0,0,1,0,1,0
"19",25,12.12926,2.495621,13,5,5,1,1,1,0,0,0,0,0,1
"20",17,11.07961,2.405107,13,5,8,1,1,1,0,0,0,0,0,0
"21",23,11.48997,2.441475,13,5,5,1,1,0,0,1,0,0,0,1
"22",10,11.48997,2.441474,13,5,5,1,0,0,0,1,0,0,0,1
"23",18,6.155341,1.81732,11,8,5,1,0,0,0,1,0,0,0,1
"24",24,10.97409,2.395537,18,0,0,1,1,1,0,0,0,0,0,1
"25",23,10.55201,2.356317,18,13,5,1,0,1,0,0,0,0,0,1
"26",25,27.69904,3.321398,18,13,13,1,1,0,0,1,0,0,0,0
"27",30,20.31263,3.011243,13,13,8,1,0,0,0,1,0,0,0,1
"28",25,8.163926,2.099725,5,5,0,1,1,0,0,1,0,0,0,0
"29",28,10.20028,2.322415,5,0,0,1,1,0,0,1,0,0,0,1
"30",2,7.386409,1.999642,8,5,0,1,0,0,0,1,0,0,0,1
"32",30,5.244351,1.657151,5,0,0,1,1,0,0,1,0,0,1,0
"33",20,5.244351,1.657151,5,5,0,1,0,0,0,1,0,1,0,0
"34",12,4.364697,1.473549,8,5,5,0,0,1,0,0,0,0,0,0
"36",18,6.278448,1.837123,13,5,8,0,1,0,1,0,0,0,0,0
"38",10,6.647768,1.894281,5,5,5,1,0,0,1,0,0,0,1,0
"39",25,8.822656,2.177323,13,8,5,1,1,0,0,1,0,0,0,1
"41",21,8.207122,2.105002,13,5,5,1,1,0,0,1,0,0,0,1
"42",23,9.848546,2.287324,13,0,5,1,0,0,0,1,0,0,0,1
"43",38,15.46529,2.738599,5,0,0,1,1,0,1,0,0,0,0,1
"45",12,14.77282,2.692789,8,0,0,1,1,0,0,1,0,0,1,0
"47",6,6.565697,1.881859,16,13,13,1,0,1,0,0,0,0,0,1
"48",28,14.03418,2.641496,11,5,5,1,1,0,1,0,0,0,1,0
"50",17,13.44327,2.598478,5,5,5,0,0,1,0,0,1,0,0,0
"53",24,12.31068,2.510467,13,8,8,1,1,1,0,0,0,0,1,0
"54",10,7.738143,2.046162,13,13,8,1,0,1,0,0,1,0,0,0
"55",15,6.155341,1.81732,8,5,5,1,1,0,0,1,0,0,0,0
"56",16,10.2589,2.328146,13,0,5,1,0,0,0,1,0,0,0,1
"57",7,4.431846,1.488816,5,5,0,1,1,0,0,1,0,0,0,0
"58",32,6.331208,1.845491,5,5,5,1,1,0,0,1,0,0,0,0
"59",4,8.01953,2.08188,5,5,5,1,0,1,0,0,0,0,0,0
"60",20,10.34097,2.336114,8,5,5,1,1,1,0,0,0,0,0,1
"64",28,10.69552,2.369825,18,5,5,1,1,1,0,0,0,0,1,0
"65",29,8.568234,2.148062,13,13,8,1,1,1,0,0,0,0,1,0
"66",17,6.463109,1.86611,5,8,8,1,1,1,0,0,0,0,0,0
"68",33,10.08245,2.310796,13,13,8,1,1,1,0,0,0,0,1,0
"70",25,9.602332,2.262006,8,5,5,1,1,1,0,0,0,0,1,0
"71",15,9.602332,2.262006,5,5,5,1,0,1,0,0,0,0,1,0
"72",30,8.738123,2.167695,8,5,5,1,0,1,0,0,0,0,1,0
"74",23,17.96694,2.888534,13,5,5,1,1,0,1,0,0,0,0,0
"75",17,15.55034,2.744082,13,18,18,1,1,0,1,0,0,0,0,1
"77",40,29.54564,3.385936,13,18,13,1,1,0,0,1,0,0,0,0
"78",20,9.285771,2.228483,13,18,13,1,0,0,0,1,0,0,0,1
"81",10,6.331208,1.845491,5,0,0,0,1,0,0,1,0,0,0,0
"82",15,6.446321,1.86351,5,0,0,1,1,0,0,1,0,0,0,0
"83",22,17.19019,2.844339,13,8,5,1,1,1,0,0,0,0,1,0
"84",24,9.848546,2.287324,13,5,5,1,0,1,0,0,0,0,0,1
"87",33,7.38641,1.999642,8,5,5,1,0,0,0,1,0,0,0,1
"88",16,11.66275,2.4564,13,8,8,1,1,0,0,1,0,0,0,1
"89",9,25.60622,3.242835,18,5,5,1,0,0,0,1,0,0,0,1
"90",26,17.13647,2.841209,13,0,5,0,1,0,1,0,0,0,1,0
"91",27,4.431846,1.488816,8,8,0,1,0,0,1,0,0,0,0,0
"95",35,7.386409,1.999642,5,0,0,1,1,0,0,1,0,0,0,1
"98",40,17.23496,2.84694,13,5,0,1,1,1,0,0,0,0,0,1
"99",22,11.36371,2.430425,13,5,8,1,1,1,0,0,0,0,0,0
"100",10,6.753289,1.91003,13,5,5,1,0,1,0,0,1,0,0,0
"106",34,17.96694,2.888534,13,5,5,1,1,1,0,0,0,0,0,0
"108",25,11.90033,2.476566,8,8,13,1,1,1,0,0,0,0,0,1
"109",22,10.05372,2.307943,13,8,8,1,0,1,0,0,0,0,0,0
"110",23,12.66242,2.538638,13,5,5,1,0,1,0,0,0,0,0,1
"111",13,15.18318,2.720188,18,5,8,0,0,1,0,0,0,0,0,1
"113",23,9.233012,2.222785,11,5,5,1,0,1,0,0,0,0,1,0
"114",22,6.893982,1.879356,8,0,0,0,1,1,0,0,0,0,1,0
"115",24,11.73618,2.462677,8,5,5,1,1,1,0,0,0,0,0,1
"117",35,7.017089,1.948349,0,0,0,1,1,1,0,0,0,0,0,0
"119",21,14.77282,2.692789,8,5,5,1,1,1,0,0,0,0,0,1
"120",19,8.207122,2.105002,8,0,0,1,1,1,0,0,0,0,0,0
"121",25,10.93189,2.391684,13,5,5,1,1,1,0,0,0,0,1,0
"123",36,14.4035,2.667471,5,5,5,1,1,1,0,0,0,0,0,0
"128",21,9.659151,2.267906,13,5,5,1,1,0,1,0,0,0,1,0
"129",30,17.13647,2.841209,13,5,5,1,0,0,1,0,0,0,0,1
"130",31,12.62021,2.535299,13,0,0,1,1,0,1,0,0,0,0,1
"132",26,8.207122,2.105002,8,5,5,1,1,1,0,0,0,0,0,1
"133",24,7.796766,2.053709,8,5,13,1,0,1,0,0,0,0,0,1
"134",10,14.77282,2.692789,18,18,13,1,0,0,1,0,0,0,0,1
"135",17,11.07961,2.405107,13,8,5,1,1,1,0,0,0,0,0,1
"137",20,10.58053,2.359016,13,5,5,1,1,1,0,0,0,0,0,1
"138",15,7.386409,1.999642,8,5,5,1,0,1,0,0,0,0,1,0
"139",22,14.77282,2.692789,18,8,5,1,1,1,0,0,0,0,0,1
"140",21,11.90033,2.476566,18,8,5,1,0,1,0,0,0,0,0,1
"143",20,12.80311,2.549688,13,8,5,1,1,1,0,0,0,0,0,0
"144",20,9.848546,2.287324,13,5,5,1,1,1,0,0,0,0,0,0
"145",14,20.23876,3.0076,18,5,5,1,0,1,0,0,0,0,0,1
"146",23,12.92622,2.559258,18,5,5,1,1,1,0,0,0,0,0,1
"147",20,14.10133,2.646269,18,5,5,1,0,1,0,0,0,0,0,1
"148",30,17.23496,2.84694,13,5,5,1,1,0,1,0,0,0,0,1
"149",26,17.23496,2.84694,18,5,5,1,0,0,1,0,0,0,0,1
"151",26,16.1158,2.7798,13,0,0,1,1,1,0,0,0,0,0,0
"153",28,16.61942,2.810572,13,0,0,1,1,0,0,1,0,0,0,1
"154",32,8.001944,2.079684,8,0,0,1,1,0,0,1,0,0,0,1
"155",9,14.77282,2.692789,21,18,13,1,0,0,0,1,0,0,0,1
"156",16,8.863691,2.181963,8,0,0,1,1,0,0,1,0,0,1,0
"157",10,7.75573,2.048432,8,5,5,1,1,0,0,1,0,0,0,0
"159",22,11.07961,2.405107,18,5,8,1,1,1,0,0,0,0,0,1
"160",23,10.66926,2.367367,18,8,5,1,0,1,0,0,0,0,0,1
"161",27,10.66926,2.367367,13,0,0,1,1,1,0,0,0,0,0,1
"162",21,9.848546,2.287324,13,0,0,1,0,1,0,0,0,0,0,1
"163",34,12.31068,2.510467,18,8,5,0,1,1,0,0,0,0,0,1
"164",20,8.028706,2.083023,8,8,8,1,1,1,0,0,0,0,0,0
"165",10,9.43819,2.244764,13,5,5,1,0,1,0,0,0,0,0,1
"166",36,11.30121,2.42491,8,5,5,1,1,1,0,0,0,0,1,0
"168",1,10.4887,2.350299,18,8,5,0,1,0,0,1,0,0,0,0
"169",15,9.766475,2.278955,13,8,5,1,1,0,0,1,0,0,0,1
"170",18,8.4123,2.129695,13,8,0,0,1,0,0,1,0,0,0,1
"172",34,14.77282,2.692789,13,8,8,1,1,0,0,1,0,0,0,0
"177",0,8.001944,2.079684,5,0,0,1,1,0,0,1,0,0,0,0
"178",3,6.647768,1.894281,13,5,5,0,0,1,0,0,0,0,1,0
"181",31,11.25548,2.420855,13,8,8,1,0,1,0,0,0,0,1,0
"183",20,11.48997,2.441475,8,5,0,1,1,0,0,1,0,0,0,0
"185",35,18.46602,2.915932,13,5,5,1,1,1,0,0,0,0,0,0
"187",35,12.92622,2.559258,8,8,5,1,1,1,0,0,0,0,0,0
"189",34,9.602332,2.262006,8,5,5,1,1,1,0,0,0,0,0,0
"193",15,8.207122,2.105002,13,5,5,1,0,1,0,0,0,0,0,1
"194",22,9.027834,2.200312,13,5,5,1,0,1,0,0,0,0,0,1
"195",22,7.878837,2.06418,13,5,5,1,1,1,0,0,0,0,1,0
"196",17,6.913679,1.933502,8,5,5,1,0,1,0,0,0,0,0,0
"197",33,14.03418,2.641496,5,5,5,1,1,1,0,0,0,0,0,1
"198",22,10.34097,2.336114,5,5,5,1,1,0,0,1,0,0,1,0
"200",32,8.617478,2.153793,8,5,5,1,1,1,0,0,0,0,0,1
"201",7,7.38641,1.999642,8,8,5,1,0,1,0,0,0,0,0,1
"202",27,12.80311,2.549688,13,8,8,1,0,0,0,1,0,0,0,1
"204",20,8.771361,2.171492,5,5,5,1,1,0,0,1,0,0,0,1
"206",16,8.207122,2.105002,13,0,5,1,0,0,0,1,0,0,0,1
"207",34,14.77282,2.692789,13,0,0,1,1,0,0,1,0,0,1,0
"208",33,17.72738,2.87511,18,5,5,1,1,0,0,1,0,0,1,0
"209",11,9.027834,2.200312,16,5,5,1,0,0,0,1,0,0,0,1
"211",37,31.39224,3.446561,13,13,8,1,1,0,0,1,0,0,1,0
"213",0,3.545476,1.265673,0,0,0,1,1,0,0,1,0,0,0,0
"214",15,8.679031,2.16091,18,8,8,0,0,0,0,1,0,0,0,1
"216",20,11.81826,2.469646,13,5,5,1,1,0,0,1,0,0,0,0
"217",20,9.233012,2.222785,13,13,5,1,0,0,0,1,0,0,0,0
"218",25,11.97796,2.483068,13,18,8,1,1,0,0,1,0,0,0,0
"219",25,12.31068,2.510467,18,13,8,1,0,0,0,1,0,0,0,1
"220",20,4.000972,1.386537,5,0,0,1,1,0,0,1,0,0,0,0
"223",20,12.79432,2.549001,18,0,5,0,0,1,0,0,0,0,0,1
"224",16,12.18758,2.500417,8,8,13,1,1,1,0,0,0,0,0,0
"225",6,9.848546,2.287324,13,5,5,1,0,1,0,0,0,0,0,1
"227",27,7.386409,1.999642,13,5,5,0,0,0,0,1,0,0,0,0
"228",20,3.939418,1.371033,5,0,0,1,1,0,0,1,0,0,0,1
"229",17,15.18318,2.720188,13,8,8,1,1,1,0,0,0,0,0,0
"230",13,10.94283,2.392684,13,8,8,1,0,1,0,0,0,0,0,1
"231",19,8.863691,2.181963,13,5,5,1,1,1,0,0,0,0,0,0
"232",27,8.207122,2.105002,5,5,5,1,1,1,0,0,0,0,1,0
"233",39,13.1314,2.575006,13,5,5,1,1,1,0,0,0,0,0,1
"234",32,13.1314,2.575006,13,18,13,1,0,1,0,0,0,0,0,1
"235",28,9.848546,2.287324,13,0,0,1,0,0,1,0,0,0,0,1
"236",33,8.617478,2.153793,5,5,0,1,1,0,1,0,0,0,0,1
"237",35,11.48997,2.441475,13,8,5,1,1,1,0,0,0,0,0,1
"238",11,9.848546,2.287324,18,8,8,1,1,1,0,0,0,0,0,1
"239",13,16.1158,2.7798,16,8,8,1,0,1,0,0,0,0,0,1
"240",20,8.903981,2.186498,11,5,5,1,1,1,0,0,0,0,0,0
"241",12,8.962177,2.193013,11,5,5,1,0,1,0,0,1,0,0,0
"246",0,8.863691,2.181963,8,5,5,1,1,0,0,1,0,0,1,0
"248",33,11.48997,2.441475,8,5,5,1,1,1,0,0,0,0,0,1
"249",32,11.79938,2.468047,8,5,5,1,1,1,0,0,0,0,0,1
"251",18,9.866133,2.289108,13,5,5,1,0,1,0,0,0,0,0,1
"253",37,11.66275,2.4564,13,5,5,0,0,1,0,0,0,0,0,1
"255",12,18.87638,2.937912,18,18,8,0,0,1,0,0,0,0,0,1
"256",15,12.31068,2.510467,13,13,5,0,0,0,0,1,0,0,0,0
"257",23,9.848546,2.287324,13,0,5,1,1,0,1,0,0,0,0,1
"258",24,13.78796,2.623796,18,18,8,1,0,0,1,0,0,0,0,1
"259",32,13.59099,2.609407,13,8,8,1,1,1,0,0,0,0,0,0
"260",28,14.77282,2.692789,11,8,8,1,0,1,0,0,0,0,0,1
"261",25,15.51146,2.741579,13,8,8,1,1,1,0,0,0,0,1,0
"262",32,9.796711,2.282047,11,8,8,1,0,1,0,0,0,0,0,0
"264",20,11.63359,2.453897,13,8,13,1,1,1,0,0,0,0,0,0
"265",17,10.2589,2.328146,13,13,5,1,0,1,0,0,0,0,0,1
"266",10,4.765426,1.561387,8,8,8,1,1,0,0,1,0,0,0,0
"268",30,11.07961,2.405107,8,5,5,1,1,0,0,1,0,0,0,0
"269",25,16.61942,2.810572,13,5,5,1,1,0,0,1,0,0,1,0
"270",28,11.75111,2.463947,8,5,5,1,1,0,0,1,0,0,1,0
"271",20,15.18318,2.720188,13,5,5,1,0,0,0,1,0,0,0,1
"272",26,18.46602,2.915932,13,8,5,1,1,0,0,1,0,0,0,1
"273",15,18.46602,2.915932,18,13,18,1,1,0,0,1,0,0,0,1
"274",15,12.31068,2.510467,18,13,13,1,0,0,0,1,0,0,0,1
"276",20,8.125051,2.094952,8,13,8,1,1,0,0,1,0,0,0,1
"277",29,20.21544,3.006447,18,8,8,1,1,0,0,1,0,0,0,0
"278",20,19.94331,2.992893,18,5,13,1,0,0,0,1,0,0,0,1
"279",7,7.386409,1.999642,8,5,5,1,1,0,0,1,0,0,0,0
"280",17,9.602332,2.262006,13,13,13,0,1,0,0,1,0,0,0,1
"281",11,8.863691,2.181963,13,13,5,1,1,0,0,1,0,0,0,0
"282",10,7.090953,1.95882,13,8,8,1,0,0,0,1,0,0,0,0
"283",35,20.51781,3.021293,13,5,5,1,0,0,0,1,0,0,0,1
"284",16,9.602332,2.262006,13,5,5,1,1,1,0,0,1,0,0,0
"285",20,10.2589,2.328146,13,8,5,1,0,1,0,0,0,0,0,1
"286",7,5.816797,1.76075,8,5,5,1,0,1,0,0,0,0,0,0
"287",30,9.602332,2.262006,11,5,5,1,1,1,0,0,0,0,1,0
"290",20,12.48303,2.52437,18,13,13,1,1,1,0,0,0,0,0,0
"291",15,16.54556,2.806118,13,5,8,1,0,1,0,0,0,0,0,1
"292",20,9.602332,2.262006,8,5,5,1,1,1,0,0,0,1,0,0
"293",20,7.977323,2.076603,8,0,5,1,1,1,0,0,0,0,0,0
"294",13,10.88524,2.387407,11,5,8,1,0,1,0,0,0,0,0,1
"295",26,10.85802,2.384904,5,5,0,1,1,1,0,0,0,0,1,0
"296",35,10.34097,2.336114,8,0,0,1,1,1,0,0,0,0,0,0
"299",12,8.863691,2.181963,11,5,5,1,1,0,0,1,0,0,0,1
"300",10,5.744986,1.748327,11,5,0,1,0,0,0,1,0,1,0,0
"301",32,26.79721,3.288298,18,13,13,1,1,1,0,0,0,0,0,1
"302",32,10.52563,2.353814,18,13,13,1,0,1,0,0,0,0,0,1
"304",34,8.863691,2.181963,5,5,5,1,1,1,0,0,0,0,1,0
"306",27,22.74237,3.12423,18,5,0,1,1,1,0,0,0,0,0,1
"307",28,35.20855,3.561289,18,13,5,1,0,1,0,0,0,0,0,1
"308",31,22.93891,3.132834,18,5,5,1,1,1,0,0,0,0,0,1
"309",31,22.93891,3.132834,18,5,5,1,0,1,0,0,0,0,0,1
"310",30,7.386409,1.999642,8,5,5,1,1,1,0,0,0,0,1,0
"314",35,4.727302,1.553355,8,0,0,1,1,0,0,1,0,0,1,0
"315",7,5.909128,1.776498,5,0,0,1,0,0,0,1,1,0,0,0
"317",34,12.18758,2.500417,13,8,5,1,1,0,0,1,0,0,1,0
"318",24,9.848546,2.287324,13,5,5,1,0,0,0,1,0,0,0,1
"319",25,9.233012,2.222785,8,0,0,1,1,0,0,1,0,0,1,0
"320",5,6.155341,1.81732,8,5,0,1,0,0,0,1,0,0,0,1
"321",33,12.44027,2.520939,8,5,5,1,1,0,0,1,0,0,0,1
"322",16,9.848546,2.287324,13,8,5,1,1,0,0,1,0,0,0,1
"323",16,8.941443,2.190697,8,5,5,1,0,0,0,1,0,0,1,0
"324",15,9.027834,2.200312,13,5,5,1,1,0,0,1,0,0,0,1
"325",8,12.31068,2.510467,18,13,13,1,0,0,0,1,0,0,0,1
"326",15,10.2589,2.328146,13,5,5,1,1,0,0,1,0,0,0,1
"327",10,5.539807,1.71196,13,8,8,1,0,0,0,1,0,0,1,0
"330",18,8.494371,2.139404,13,8,8,1,0,0,0,1,0,0,0,1
"331",20,4.185632,1.431658,8,5,0,0,0,1,0,0,0,0,0,0
"332",25,23.31995,3.149309,18,8,5,1,1,1,0,0,0,0,0,1
"335",7,18.46602,2.915932,8,0,0,1,0,1,0,0,1,0,0,0
"336",37,5.909127,1.776498,5,0,5,1,1,1,0,0,0,0,1,0
"337",28,4.431846,1.488816,5,5,5,1,0,1,0,0,0,1,0,0
"339",16,5.334629,1.674219,8,5,5,1,0,1,0,0,0,0,0,0
"340",25,8.617478,2.153793,8,5,5,1,1,1,0,0,0,0,0,1
"341",5,5.539807,1.71196,8,5,5,1,0,1,0,0,1,0,0,0
"342",33,7.386409,1.999642,5,0,0,1,1,1,0,0,0,0,1,0
"343",23,7.181231,1.971471,8,5,0,1,0,1,0,0,0,0,0,0
"345",21,8.309711,2.117425,8,5,5,1,1,1,0,0,0,0,0,0
"347",23,9.71896,2.274079,13,5,5,0,1,1,0,0,0,0,0,0
"351",16,7.386409,1.999642,8,5,5,1,1,1,0,0,0,0,0,0
"352",7,5.761399,1.75118,13,5,5,1,0,1,0,0,0,0,1,0
"353",31,9.233012,2.222785,8,5,0,1,0,0,0,1,0,0,0,1
"354",13,7.75573,2.048432,8,5,5,1,1,0,0,1,0,0,1,0
"355",31,5.909128,1.776498,13,5,0,1,1,0,0,1,0,0,1,0
"356",29,7.796766,2.053709,13,8,5,1,0,0,0,1,0,0,0,1
"359",32,10.2589,2.328146,13,13,8,1,0,0,0,1,0,0,0,1
"360",15,6.935018,1.936584,5,5,0,0,0,0,0,1,0,0,0,1
"361",23,9.971653,2.299746,8,0,0,1,1,0,1,0,0,0,0,1
"362",18,15.38835,2.733611,18,5,5,1,0,0,1,0,0,0,0,1
"363",10,9.027834,2.200312,13,8,5,1,0,1,0,0,0,0,0,1
"364",16,7.878837,2.06418,13,18,13,1,1,1,0,0,0,0,0,0
"365",31,17.43193,2.858303,18,8,8,1,1,1,0,0,0,0,0,1
"366",13,8.125051,2.094952,13,5,5,1,0,1,0,0,1,0,0,0
"367",26,9.400886,2.240804,8,8,5,1,1,0,1,0,0,0,0,0
"368",18,10.34097,2.336114,13,5,5,1,0,0,1,0,1,0,0,0
"369",10,9.233012,2.222785,5,5,0,1,1,0,1,0,0,0,1,0
"371",20,8.793344,2.173995,8,5,5,1,1,0,1,0,0,0,0,1
"372",8,6.50004,1.871808,13,18,13,1,1,0,1,0,0,0,1,0
"373",27,6.211299,1.82637,5,5,5,1,1,0,1,0,0,0,0,0
"374",24,14.77282,2.692789,13,5,5,1,1,0,1,0,0,0,0,0
"375",21,13.13139,2.575006,13,5,5,1,0,0,1,0,0,0,0,1
"376",27,11.73618,2.462677,8,5,5,1,1,0,1,0,0,0,1,0
"377",25,4.801166,1.568859,8,5,5,1,0,0,1,0,0,0,1,0
"378",23,11.66275,2.4564,8,8,5,1,1,0,0,1,0,0,0,1
"379",20,11.07961,2.405107,8,5,5,1,1,0,0,1,0,0,0,1
"380",20,14.77282,2.692789,13,5,5,1,0,0,0,1,0,0,0,1
"381",18,10.66926,2.367367,13,5,8,1,1,0,0,1,0,0,0,1
"382",31,8.617478,2.153793,13,5,5,1,1,0,0,1,0,0,0,1
"383",25,9.848547,2.287324,13,5,8,0,0,0,0,1,0,0,0,0
"384",24,14.37355,2.66539,13,18,8,1,1,0,0,1,0,0,0,0
"385",14,9.233012,2.222785,13,8,8,1,0,0,0,1,0,0,0,1
"386",35,8.679031,2.16091,8,0,0,1,1,1,0,0,0,0,1,0
"387",32,6.401555,1.856541,5,5,5,1,1,0,0,1,0,0,0,0
"389",30,6.262391,1.834562,8,5,5,1,1,1,0,0,0,0,1,0
"390",20,5.539807,1.71196,13,8,5,1,0,1,0,0,0,0,0,0
"391",29,10.10772,2.313299,13,5,5,1,1,1,0,0,0,0,1,0
"392",25,9.027834,2.200312,13,5,5,1,0,1,0,0,0,0,0,1
"393",18,12.31068,2.510467,13,5,5,1,1,1,0,0,0,0,1,0
"394",5,12.92622,2.559258,18,5,8,0,1,1,0,0,0,0,0,1
"395",9,11.66275,2.4564,18,8,8,1,0,1,0,0,0,0,0,1
"396",9,14.77282,2.692789,18,8,8,1,1,1,0,0,0,0,0,0
"397",29,26.26279,3.268153,18,18,13,1,1,0,1,0,0,0,0,0
"398",22,15.59353,2.746856,13,8,8,1,0,0,1,0,0,0,0,1
"399",6,10.97409,2.395537,18,13,8,0,0,0,1,0,0,0,0,0
"400",10,6.401555,1.856541,13,5,5,1,1,1,0,0,0,0,0,0
"401",12,9.43819,2.244764,13,8,8,0,0,1,0,0,0,0,0,0
"402",26,9.540779,2.255575,8,13,0,0,0,1,0,0,0,0,0,0
"403",32,22.97994,3.134622,18,5,5,1,0,0,0,1,0,0,0,1
"404",33,24.92913,3.216037,18,5,5,1,1,0,0,1,0,0,0,1
"406",27,9.43819,2.244764,13,5,5,1,1,0,0,1,0,0,0,1
"407",14,8.793344,2.173995,13,8,5,1,1,0,0,1,0,0,0,0
"408",27,13.60654,2.610551,13,5,5,1,1,0,0,1,0,0,0,1
"410",35,9.43819,2.244764,8,5,5,1,1,0,0,1,0,0,0,1
"411",15,12.66242,2.538638,11,0,0,1,1,0,0,1,0,1,0,0
"414",13,10.34097,2.336114,13,5,5,1,0,1,0,0,0,0,0,1
"415",17,10.34097,2.336114,13,5,5,1,1,1,0,0,0,0,0,0
"416",30,11.48997,2.441475,5,5,5,1,1,1,0,0,0,0,0,0
"417",27,8.863691,2.181963,8,5,5,1,0,1,0,0,0,0,1,0
"421",25,7.804509,2.054702,8,5,5,1,1,1,0,0,0,0,0,1
"422",26,18.6712,2.926982,18,8,5,1,1,1,0,0,0,0,0,1
"423",15,8.001944,2.079684,18,18,13,1,0,1,0,0,0,0,0,1
"424",22,7.681866,2.038862,5,5,0,1,1,1,0,0,0,0,0,0
"425",18,7.045498,1.952389,8,5,0,1,0,1,0,0,0,0,1,0
"426",16,21.38171,3.062536,13,5,5,1,1,1,0,0,0,0,1,0
"427",15,8.78162,2.172661,13,5,5,1,0,1,0,0,0,0,0,1
"428",35,10.71029,2.371205,5,0,0,0,1,1,0,0,0,0,1,0
"430",29,11.07961,2.405107,13,0,0,1,1,1,0,0,0,0,1,0
"433",28,8.793344,2.173995,8,13,8,1,1,1,0,0,0,0,0,1
"434",10,8.863691,2.181963,5,5,5,1,0,1,0,0,0,0,0,0
"436",12,8.617478,2.153793,8,8,8,1,1,1,0,0,0,0,0,1
"437",8,14.15728,2.650229,13,13,8,1,0,1,0,0,0,0,0,1
"438",22,10.04552,2.307127,13,5,5,0,0,1,0,0,1,0,1,0
"439",16,9.43819,2.244764,13,8,5,0,0,0,1,0,0,0,0,1
"444",10,9.848546,2.287324,13,13,5,1,1,1,0,0,1,0,1,0
"446",6,8.863691,2.181963,13,5,5,1,0,1,0,0,1,0,0,0
"447",20,14.4035,2.667471,18,13,5,1,1,1,0,0,0,0,1,0
"448",20,19.69709,2.980471,18,8,8,1,0,1,0,0,0,0,0,1
"449",16,10.2589,2.328146,8,5,5,1,1,0,0,1,0,0,1,0
"450",34,12.5569,2.53027,13,0,0,1,1,0,1,0,0,0,0,1
"451",35,9.233012,2.222785,5,0,0,1,1,0,1,0,0,0,1,0
"453",20,8.863691,2.181963,13,5,0,1,1,0,0,1,0,0,0,1
"454",7,11.07961,2.405107,13,5,5,1,0,0,0,1,0,0,0,1
"455",30,12.31068,2.510467,5,5,5,1,1,0,0,1,0,0,0,1
"457",26,9.233012,2.222785,13,5,5,1,1,0,0,1,0,0,0,0
"458",0,8.001944,2.079684,5,0,0,1,1,0,1,0,0,0,0,1
"460",28,10.98492,2.396523,13,8,5,1,1,0,0,1,0,0,0,0
"462",10,4.595988,1.525184,8,5,5,1,0,0,0,1,0,0,0,0
"463",20,9.602332,2.262006,8,5,5,1,1,0,0,1,0,0,1,0
"464",19,13.95211,2.635631,8,5,5,1,1,1,0,0,0,0,0,1
"465",33,16.98874,2.832551,13,5,5,1,1,1,0,0,0,0,0,0
"468",26,14.77282,2.692789,8,5,5,1,1,0,0,1,0,0,0,1
"469",15,9.848546,2.259439,13,5,5,1,1,1,0,0,0,0,1,0
"470",12,6.204584,1.825288,8,5,5,1,0,1,0,0,1,0,0,0
"473",15,9.602332,2.262006,11,0,0,1,1,0,0,1,0,0,0,1
"474",11,5.170487,1.642967,11,0,5,1,0,0,0,1,0,0,0,0
"475",24,6.997651,1.945575,13,5,5,1,1,0,0,1,0,0,0,1
"476",15,7.38641,1.999642,13,13,5,1,0,0,0,1,0,0,0,1
"479",6,46.28817,3.834886,13,13,8,1,1,1,0,0,0,0,0,0
"480",20,15.3268,2.729603,18,5,5,1,0,1,0,0,0,0,0,1
"481",28,8.44161,2.133173,5,0,0,1,1,1,0,0,0,0,1,0
"482",43,7.201749,1.974324,5,5,5,1,1,1,0,0,0,0,0,0
"485",24,14.4035,2.667471,18,8,8,1,1,1,0,0,0,0,1,0
"486",22,17.72738,2.810572,18,8,8,1,0,1,0,0,0,0,1,0
"488",15,10.29994,2.332138,18,5,8,0,1,1,0,0,0,0,0,1
"489",40,7.201749,1.974324,5,0,0,1,1,1,0,0,0,0,0,0
"492",35,7.201749,1.974324,5,0,0,1,1,1,0,0,0,0,0,0
"497",16,8.44161,2.133173,13,5,8,1,1,1,0,0,0,0,1,0
"498",16,9.848546,2.287324,11,5,5,1,0,1,0,0,0,0,1,0
"500",27,6.770875,1.91263,18,13,5,1,1,0,1,0,0,0,0,1
"501",33,16.31165,2.79188,13,13,5,1,0,0,1,0,0,0,0,1
"502",19,12.31068,2.510467,16,5,5,1,1,0,0,1,0,0,0,1
"503",28,13.1314,2.575006,13,5,5,1,0,0,0,1,0,0,0,1
"504",12,27.0835,3.298925,18,13,8,1,1,0,0,1,0,0,0,1
